Global_Sales,Publisher
0.96,UFO Interactive
0.61,Idea Factory International
1.2,Playlogic Game Factory
0.23,Essential Games
0.17,Adeline Software
0.2,Funcom
0.17,Panther Software
0.38,Blast! Entertainment Ltd
0.3,Game Life
0.35,DSI Games
0.48,Avalon Interactive
0.49,Popcorn Arcade
0.31,Neko Entertainment
0.26,Vir2L Studios
0.16,Aques
0.27,Syscom
0.16,White Park Bay Software
0.22,System 3
0.22,Vatical Entertainment
0.28,Daedalic
0.15,EA Games
0.29,Media Factory
0.27,Vic Tokai
0.51,The Adventure Company
0.14,Game Arts
0.96,Broccoli
1.07,Acquire
0.14,General Entertainment
0.28,Excalibur Publishing
0.14,Imadio
0.48,Swing! Entertainment
0.14,Sony Music Entertainment
1.25,Aqua Plus
0.76,Paradox Interactive
0.36,Hip Interactive
0.95,DreamCatcher Interactive
0.14,Tripwire Interactive
0.65,Sting
0.32,Yacht Club Games
0.13,SCS Software
0.84,Bigben Interactive
0.13,Havas Interactive
0.21,Slitherine Software
0.38,Graffiti
0.2,Funsta
0.27,Telstar
0.33,U.S. Gold
0.13,DreamWorks Interactive
0.29,Data Design Interactive
0.4,MTO
0.18,DHM Interactive
0.12,FunSoft
0.12,SPS
0.12,Bohemia Interactive
0.34,Reef Entertainment
0.28,Tru Blu Entertainment
0.13,Moss
0.12,T&E Soft
1.08,O-Games
0.44,Aksys Games
0.12,NDA Productions
0.15,Data East
0.35,Time Warner Interactive
0.16,Gainax Network Systems
0.23,Daito
0.22,O3 Entertainment
0.11,Gameloft
0.17,Xicat Interactive
0.11,Simon & Schuster Interactive
0.45,Valcon Games
0.11,PopTop Software
0.11,TOHO
0.14,HMH Interactive
1.63,5pb
0.33,Cave
0.2,CDV Software Entertainment
0.4,Microids
0.1,PM Studios
0.25,Paon
0.2,Micro Cabin
0.1,GameTek
0.33,Benesse
0.1,Type-Moon
0.1,Enjoy Gaming ltd.
0.17,Asmik Corp
0.1,Interplay Productions
0.23,Asmik Ace Entertainment
0.1,inXile Entertainment
0.1,Image Epoch
0.09,Phantom EFX
0.32,Evolved Games
0.13,responDESIGN
0.09,Culture Publishers
0.09,Griffin International
0.31,Hackberry
0.09,Hearty Robin
0.09,Nippon Amuse
0.09,Origin Systems
0.08,Seventh Chord
0.08,Mitsui
0.08,Milestone
0.08,Abylight
0.12,Flight-Plan
0.08,Glams
0.07,Locus
0.07,Warp
0.14,Daedalic Entertainment
0.2,Alternative Software
0.13,Myelin Media
0.21,Mercury Games
0.46,Irem Software Engineering
0.17,Sunrise Interactive
0.07,Elite
0.07,Evolution Games
0.17,Tivola
0.15,Global A Entertainment
0.09,Edia
0.09,Athena
0.07,Aria
0.2,Gamecock
0.21,Tommo
0.07,Altron
0.18,Happinet
0.06,iWin
0.18,Media Works
0.06,Fortyfive
0.07,Revolution Software
0.06,Imax
0.08,Crimson Cow
0.11,10TACLE Studios
0.09,Groove Games
0.11,Pack-In-Video
0.12,Insomniac Games
0.11,Ascaron Entertainment GmbH
0.25,Asgard
0.06,Ecole
0.06,Yumedia
0.19,Phenomedia
0.06,HAL Laboratory
0.06,Grand Prix Games
0.06,DigiCube
0.1,Creative Core
0.14,Kaga Create
0.05,WayForward Technologies
0.12,LSP Games
0.27,ASCII Media Works
0.07,Coconuts Japan
0.09,Arika
0.05,Ertain
0.05,Marvel Entertainment
0.61,Prototype
0.12,TopWare Interactive
0.05,Phantagram
0.1,1C Company
0.05,The Learning Company
0.05,TechnoSoft
0.05,Vap
0.07,Misawa
0.11,Tradewest
0.05,Team17 Software
0.24,Yeti
0.05,Pow
0.05,Navarre Corp
0.05,MediaQuest
0.05,Max Five
0.15,Comfort
0.05,Monte Christo Multimedia
0.05,Pony Canyon
0.04,Riverhillsoft
0.04,Summitsoft
0.05,Milestone S.r.l
0.04,Playmore
0.04,MLB.com
0.04,Kool Kizz
0.08,Flashpoint Games
0.04,49Games
0.04,Legacy Interactive
0.05,Alawar Entertainment
0.27,CyberFront
0.08,Cloud Imperium Games Corporation
0.04,Societa
0.06,Virtual Play Games
0.1,Interchannel
0.06,Sonnet
0.06,Experience Inc.
0.06,Zenrin
0.08,Iceberg Interactive
0.04,Ivolgamus
0.04,2D Boy
0.08,MC2 Entertainment
0.03,Kando Games
0.03,Just Flight
0.06,Office Create
0.05,Mamba Games
0.03,Fields
0.07,Princess Soft
0.03,Maximum Family Games
0.03,Berkeley
0.03,Fuji
0.05,Dusenberry Martin Racing
0.04,imageepoch Inc.
0.05,Big Fish Games
0.03,Her Interactive
0.03,Kamui
0.03,ASK
0.03,Headup Games
0.03,KSS
0.03,Cygames
0.08,KID
0.22,Quinrose
0.03,Sunflowers
0.11,dramatic create
0.1,TGL
0.07,Encore
0.03,Extreme Entertainment Group
0.03,Intergrow
0.04,G.Rev
0.05,Sweets
0.03,Kokopeli Digital Studios
0.03,Number None
0.03,Nexon
0.03,id Software
0.03,BushiRoad
0.03,Tryfirst
0.03,Strategy First
0.08,7G//AMES
0.05,GN Software
0.08,Yuke's
0.05,Easy Interactive
0.07,Licensed 4U
0.03,FuRyu Corporation
0.05,Lexicon Entertainment
0.03,Paon Corporation
0.03,Kids Station
0.02,GOA
0.02,Graphsim Entertainment
0.02,King Records
0.02,Introversion Software
0.05,Minato Station
0.04,Devolver Digital
0.03,Blue Byte
0.02,Gaga
0.04,Yamasa Entertainment
0.02,Plenty
0.03,Views
0.02,fonfun
0.03,NetRevo
0.02,Codemasters Online
0.02,Quintet
0.02,Phoenix Games
0.03,Dorart
0.02,Marvelous Games
0.05,Focus Multimedia
0.02,Imageworks
0.02,Karin Entertainment
0.03,Aerosoft
0.02,Technos Japan Corporation
0.04,Gakken
0.02,Mirai Shounen
0.03,Datam Polystar
0.02,Saurus
0.03,HuneX
0.02,Revolution (Japan)
0.02,Giza10
0.02,Visco
0.04,Alvion
0.02,Mycom
0.02,Giga
0.02,Warashi
0.05,System Soft
0.02,Sold Out
0.02,Lighthouse Interactive
0.02,Masque Publishing
0.02,RED Entertainment
0.01,Michaelsoft
0.01,Media Entertainment
0.01,New World Computing
0.01,Genterprise
0.01,"Interworks Unlimited, Inc."
0.01,Boost On
0.01,Stainless Games
0.01,EON Digital Entertainment
0.01,Epic Games
0.01,Naxat Soft
0.01,Ascaron Entertainment
0.01,Piacci
0.02,Nitroplus
0.01,Paradox Development
0.01,Otomate
0.01,Ongakukan
0.01,Commseed
0.01,Inti Creates
0.01,Takuyo
0.01,Interchannel-Holon
0.01,Rain Games
0.01,UIG Entertainment
